date,testing, case death
09/09/20 11:02:55, Download Successful, Download Successful
09/09/20 21:01:22, Download Successful, Download Successful
09/10/20 09:16:38, Download Successful, Download Successful
09/10/20 18:20:07, Download Successful, Download Successful
09/11/20 09:18:49, Download Successful, Download Successful
09/11/20 16:50:21, Download Successful, Download Successful
09/12/20 11:16:48, Download Successful, Download Successful
09/12/20 11:24:20, Download Successful, Download Successful
09/12/20 20:38:04, Download Successful, Download Successful
09/13/20 12:28:55, Download Successful, Download Successful
09/14/20 13:40:21, Download Successful, Download Successful
09/15/20 12:54:10, Download Successful, Download Successful
09/16/20 09:19:45, Download Successful, Download Successful
09/17/20 09:32:58, Download Successful, Download Successful
09/17/20 16:07:07, Download Successful, Download Successful
